aia_filenames,aia_iso_dates,aia_wavelengths,eve_indices,eve_dates,time_delta
aia_lev1_304a_2012_03_17t00_00_08_12z_image_lev1.fits,2012-03-17 00:00:08+00:00,304a,987840,2012-03-17 00:00:06+00:00,0 days 00:00:02
aia_lev1_304a_2012_10_17t00_00_07_12z_image_lev1.fits,2012-10-17 00:00:07+00:00,304a,1294200,2012-10-17 00:00:09+00:00,0 days 00:00:02
aia_lev1_211a_2011_02_13t00_00_00_62z_image_lev1.fits,2011-02-13 00:00:00+00:00,211a,414720,2011-02-13 00:00:12+00:00,0 days 00:00:12
aia_lev1_304a_2012_07_12t00_00_07_13z_image_lev1.fits,2012-07-12 00:00:07+00:00,304a,1156320,2012-07-12 00:00:05+00:00,0 days 00:00:02
aia_lev1_171a_2011_06_23t00_00_00_34z_image_lev1.fits,2011-06-23 00:00:00+00:00,171a,601920,2011-06-23 00:00:05+00:00,0 days 00:00:05
aia_lev1_211a_2011_04_16t00_00_00_62z_image_lev1.fits,2011-04-16 00:00:00+00:00,211a,504000,2011-04-16 00:00:09+00:00,0 days 00:00:09
aia_lev1_193a_2012_05_22t00_00_07_84z_image_lev1.fits,2012-05-22 00:00:07+00:00,193a,1082880,2012-05-22 00:00:14+00:00,0 days 00:00:07
aia_lev1_193a_2012_07_17t00_00_06_84z_image_lev1.fits,2012-07-17 00:00:06+00:00,193a,1163520,2012-07-17 00:00:06+00:00,0 days 00:00:00
aia_lev1_304a_2012_07_22t00_00_07_12z_image_lev1.fits,2012-07-22 00:00:07+00:00,304a,1170720,2012-07-22 00:00:07+00:00,0 days 00:00:00
aia_lev1_211a_2011_05_08t00_00_00_63z_image_lev1.fits,2011-05-08 00:00:00+00:00,211a,535680,2011-05-08 00:00:05+00:00,0 days 00:00:05
aia_lev1_304a_2011_04_21t00_00_08_12z_image_lev1.fits,2011-04-21 00:00:08+00:00,304a,511200,2011-04-21 00:00:10+00:00,0 days 00:00:02
aia_lev1_193a_2012_07_31t00_00_09_26z_image_lev1.fits,2012-07-31 00:00:09+00:00,193a,1182840,2012-07-31 00:00:09+00:00,0 days 00:00:00
aia_lev1_171a_2012_09_27t00_00_11_34z_image_lev1.fits,2012-09-27 00:00:11+00:00,171a,1265700,2012-09-27 00:00:14+00:00,0 days 00:00:03
aia_lev1_304a_2012_11_10t00_00_07_12z_image_lev1.fits,2012-11-10 00:00:07+00:00,304a,1328760,2012-11-10 00:00:05+00:00,0 days 00:00:02
aia_lev1_193a_2012_09_30t00_00_06_84z_image_lev1.fits,2012-09-30 00:00:06+00:00,193a,1270020,2012-09-30 00:00:05+00:00,0 days 00:00:01
aia_lev1_304a_2011_05_31t00_00_08_12z_image_lev1.fits,2011-05-31 00:00:08+00:00,304a,568800,2011-05-31 00:00:10+00:00,0 days 00:00:02
aia_lev1_171a_2011_02_22t00_00_00_34z_image_lev1.fits,2011-02-22 00:00:00+00:00,171a,427680,2011-02-22 00:00:14+00:00,0 days 00:00:14
aia_lev1_193a_2012_03_30t00_00_07_84z_image_lev1.fits,2012-03-30 00:00:07+00:00,193a,1006560,2012-03-30 00:00:10+00:00,0 days 00:00:03
aia_lev1_171a_2012_09_19t00_00_11_35z_image_lev1.fits,2012-09-19 00:00:11+00:00,171a,1254180,2012-09-19 00:00:12+00:00,0 days 00:00:01
aia_lev1_304a_2012_04_06t00_00_08_12z_image_lev1.fits,2012-04-06 00:00:08+00:00,304a,1016640,2012-04-06 00:00:12+00:00,0 days 00:00:04
